post_id,symptom
33181,sense of doom
239,mad
7581,unhappy
1517,ptsd
1156,anxiety
1929,panic attack
1929,feeling bad
1929,vomiting
15182,anxiety
901,anxiety
1055,coughing
4489,anxiety
4489,anger
4489,ptsd
561,headaches
561,anxiety
524,mad
1486,sad
1324,screaming
1616,anxiety
9098,ocd
802,joint pain
184,falls
2080,anxiety
1687,depression
1687,manic
26811,pain
87,ptsd
45812,mad
45812,anxiety
1896,sneeze
1896,headaches
1896,watery eyes
1896,allergy
24750,on edge
24750,anxiety
10742,adhd
10742,anxiety
10742,increased heart rate
2026,depression
19961,shock
19961,panic attack
19961,crying
19961,tired
47184,fall
47184,anxiety
54618,ptsd
8255,anxiety
1977,anxiety
1243,depression
36749,pain
46984,anxiety
1155,anxiety
967,dissociation
967,depression
640,anxiety
640,depression
954,mad
954,screaming
115,ptsd
1482,anxiety
25,social anxiety
418,alcoholism
418,heart attack
1435,rage
15123,anxiety
1658,ptsd
910,anxiety
28672,hopeless
1297,overwhelmed
1789,unhappy
1579,anxiety
1579,depersonalization
20693,ocd
2336,depression
37248,anxiety
198,anxiety
1695,crying
1695,screaming
1695,anxiety
31281,broken wrist
53839,insomnia
24621,sleepy
24621,anxiety
53925,coma
53925,illusion
26152,anxiety
42669,ptsd
35381,odd
638,anxiety
638,depression
53321,anxiety
16963,anxiety
16963,insomnia
1578,anxiety
1578,panic attack
1922,rage
13064,anxiety
291,anxiety
55234,ptsd
570,ptsd
1268,depression
1268,anxiety
22691,dwarfism
10227,anger
10227,depression
10227,bipolar disorder
642,depression
642,social anxiety
1700,cry
1700,ptsd
1732,panic attack
1732,anxiety
44055,anger
44055,screaming
39170,anxiety
764,anxiety
764,cry
916,anxiety
916,panic attack
36724,bipolar disorder
145,depression
145,suicidal ideation
142,allergy
19529,anxiety
212,anxiety
212,depression
212,paranoia
856,short fuse
26901,crying
26901,killing myself
36113,ptsd
14493,cry
23483,depression
23483,anger
990,cry
1369,overwhelmed
17500,weight gain
885,anxiety
885,panic attack
30252,resentment
1342,pain
1857,overwhelmed
47183,anxiety
1229,anxiety
1600,anger
1864,unhappy
1864,negative
1864,cry
11857,rage
